,p90p100,p50p90,p0p50,Wealth-Inc Ratio
0,0.5453,0.3508,0.1039,3.752731085
1,0.5453,0.3508,0.1039,3.814352036
2,0.5453,0.3508,0.1039,4.274416447
3,0.5453,0.3508,0.1039,4.182420731
4,0.5453,0.3508,0.1039,4.19809866
5,0.5453,0.3508,0.1039,4.342578411
6,0.5453,0.3508,0.1039,4.405280113
7,0.5453,0.3508,0.1031,4.502025127
8,0.5477,0.3493,0.1023,4.62278223
9,0.55,0.3477,0.1015,4.675385475
10,0.5523,0.3462,0.1007,4.725561619
11,0.5546,0.3446,0.0999,4.642960548
12,0.557,0.3431,0.0992,4.730957985
13,0.5593,0.3416,0.0992,4.750468254
14,0.5593,0.3416,0.0992,4.758102417
15,0.5593,0.3416,0.0992,4.706134796
16,0.5593,0.3416,0.0992,4.624154568
17,0.5593,0.3416,0.0992,4.240551472
18,0.5593,0.3416,0.0992,4.257213116
19,0.5593,0.3416,0.0992,4.237112522
20,0.5593,0.3416,0.0992,4.229460239
21,0.5593,0.3416,0.0992,4.26265955
